Taxpayer ID,Property Value,Location,Ownership Date
TXP_B05B91BEFF,187580.43,Rural East,2016-04-23
TXP_676E60ED9C,356490.58,City Center,2019-04-21
TXP_5492246BA1,233871.78,Suburban North,2023-10-28
TXP_3E3ECC5D6E,281449.84,Suburban North,2020-07-29
TXP_02904C5194,258821.38,Suburban North,2012-08-02
TXP_93A5DB808A,56907.85,Industrial South,2005-08-26
TXP_8048AA6DFD,198898.62,City Center,2009-03-16
TXP_9EAC1C2831,329411.85,City Center,2018-04-02
TXP_FC40BE4CA9,1321384.53,Suburban West,2020-07-16
TXP_E23A41AAE3,207521.42,City Center,2010-08-10
TXP_813778CDB9,771000.73,City Center,2014-02-10
TXP_D438C98F6A,135225.65,Coastal Area,2016-06-07
TXP_BD16747B75,684168.44,Suburban West,2005-06-19
TXP_10BF8379EA,1331992.63,Suburban West,2010-11-21
TXP_474994560E,50000.0,Coastal Area,2015-01-07
TXP_85FF325B28,106399.24,Suburban West,2022-02-07
TXP_DCCFAF263A,228352.33,Suburban West,2019-05-15
TXP_5BFC44204D,50000.0,Suburban West,2022-03-06
TXP_6DAD5B0D94,,,2019-10-11
TXP_3BD288B1B6,245979.68,Suburban North,2008-08-07
TXP_2ABE4CCB3D,60944.71,Suburban North,2012-09-19
TXP_D68EAEF23C,56456.77,Suburban North,2013-03-21
TXP_94BB239A0A,80599.85,City Center,2019-06-01
TXP_41C3ABB754,117160.43,Rural East,2008-07-21
TXP_3EFBE224AB,626326.24,Suburban North,2012-03-13
TXP_1A1D1F53DE,161722.62,City Center,2015-09-13
TXP_AD162AAFE9,,Rural East,2012-03-21
TXP_0D66EB0195,186080.51,Coastal Area,2016-05-08
TXP_2C930F2B1D,158985.26,Industrial South,2017-03-10
TXP_A31425933E,349553.83,Suburban West,2020-05-22
TXP_939D1BC92F,222627.7,City Center,2022-03-16
TXP_7FBDE80AEE,339378.29,Suburban West,2013-11-17
TXP_E9E8C51D81,1321471.45,Coastal Area,2014-03-29
TXP_E116B2D2EC,367608.92,Suburban West,2023-04-09
TXP_AC6867F6F2,106378.0,Suburban North,
TXP_94F3B07FBC,656124.2,Industrial South,2024-04-02
TXP_74B075F2B5,758738.71,Industrial South,2005-12-29
TXP_DBEEF276D2,50000.0,Suburban West,2022-11-06
TXP_2AD4A41FB4,455289.03,Suburban North,2021-11-17
TXP_3192A8A913,358125.79,Rural East,2011-03-27
TXP_D8A8FF6A95,52978.11,,2021-09-20
TXP_1B79687ADC,236329.88,Suburban North,2007-07-18
TXP_C3BB417779,283825.84,Rural East,
TXP_33BDEAF243,92804.14,Industrial South,2015-11-03
TXP_50F419DF29,117450.36,Industrial South,2011-12-07
TXP_DE287DAF43,151942.12,City Center,2023-11-19
TXP_53E1C7BB9E,190762.38,City Center,2016-09-04
TXP_1AE8A828A6,125184.87,Suburban West,2016-09-30
TXP_76E177873D,126098.73,Suburban North,2011-12-11
TXP_6F1A3F2C21,1695714.8,Suburban North,2014-10-23
TXP_77B544D6C0,151038.51,City Center,2013-06-10
TXP_25DFFEC188,224526.18,City Center,2019-09-02
TXP_9604D61BB8,1351622.26,Suburban West,2012-11-24
TXP_ACD481CC73,1630252.65,,2006-01-01
TXP_0507630654,159999.26,,2025-01-18
TXP_52532A8430,345544.85,Rural East,2010-01-19
TXP_FAF781D929,430312.15,Coastal Area,2009-02-21
TXP_7936B8AA78,99654.76,Industrial South,2022-09-27
TXP_6DEEA44594,267355.33,Suburban North,2010-01-07
TXP_75F4C53921,82124.68,Coastal Area,2005-06-18
TXP_21B53C54E8,92649.58,Suburban North,2013-04-07
TXP_ED58765594,73618.08,Industrial South,2008-06-19
TXP_E3AA185215,621595.02,Coastal Area,2019-04-29
TXP_B0413E51C8,153301.5,Industrial South,2008-01-26
TXP_DD237E3C70,807079.91,Suburban West,2010-12-07
TXP_7AAFBF3B35,106475.01,Rural East,2017-09-05
TXP_E5DB7AF8E2,358266.81,Rural East,2022-10-22
TXP_1ACB888281,101274.92,Rural East,2018-09-22
TXP_9D39F5BCA0,186693.74,Suburban North,
TXP_4C737B84DF,50000.0,Suburban North,2021-10-05
TXP_2D25E3670C,374607.37,Coastal Area,2015-02-18
TXP_754222CC3C,164503.49,City Center,2025-03-27
TXP_A42FB8631B,167404.35,Suburban West,2009-02-10
TXP_52CA4ADAFC,150171.79,Rural East,2005-08-31
TXP_8E8C8BBF9B,298696.26,City Center,2009-03-02
TXP_D909EA96FF,143166.8,,2019-05-27
TXP_AF556241F3,243419.46,City Center,2014-01-30
TXP_4053899C0E,1760568.88,City Center,2008-03-21
TXP_926A223DFC,103890.82,Rural East,2021-04-20
TXP_E55F168A42,586993.91,Industrial South,2013-12-03
TXP_852E160EBF,1391344.4,Suburban West,2022-12-03
TXP_E95EED022D,491648.96,,
TXP_EEB984911E,68851.85,Suburban West,2011-04-14
TXP_9AA397C77C,,Suburban West,2018-08-13
TXP_B9FC516F1B,293491.02,Coastal Area,2006-06-07
TXP_07476612C7,281834.32,City Center,2010-12-23
TXP_3BCE86240F,83108.74,Suburban West,2013-12-03
TXP_9EAA6C93D6,159747.75,City Center,2011-08-26
TXP_FD92B2EDDD,146897.63,Suburban North,2020-11-05
TXP_1AAA6DDE71,318559.88,City Center,2021-11-17
TXP_40B3AC5266,187766.21,Suburban North,2016-12-02
TXP_2E114748FE,191212.59,City Center,2008-03-16
TXP_899BE0FFFC,700952.72,City Center,
TXP_47CD0E1ADC,710654.66,Coastal Area,2013-03-18
TXP_D6A48929C4,349891.2,Suburban North,2007-11-05
TXP_D68EAEF23C,137118.11,Rural East,2013-05-31
TXP_B06A2863F9,190973.35,Suburban North,2025-04-18
TXP_5179D4E07A,504448.77,Rural East,2011-11-16
TXP_A2F0748698,242317.02,City Center,2018-01-14
TXP_1C78AF4023,1187479.17,City Center,2014-05-08
TXP_74C705B9BA,362391.11,,2024-11-14
TXP_6FEDF9125F,344490.22,,2022-10-19
TXP_D2D804278B,312832.89,Suburban North,2017-03-02
TXP_E9C9C353B7,238003.83,City Center,2005-08-07
TXP_4AFA2CC65E,239778.55,Rural East,2006-08-27
TXP_50E64656EC,266421.32,Suburban West,2007-03-19
TXP_B07EAEAAE3,270741.65,Coastal Area,2018-05-30
TXP_93EA476E72,70668.85,City Center,2019-12-09
TXP_FAC8BF5491,50000.0,City Center,2024-01-04
TXP_515EB1374C,107111.85,Suburban West,2019-11-27
TXP_44C9957EE4,155003.89,City Center,2005-08-13
TXP_203975693E,1020684.38,Industrial South,2012-08-01
TXP_FA09CBEDA8,666844.7,Industrial South,2023-07-17
TXP_B07EDB23F1,480530.53,Rural East,2023-05-22
TXP_911A9B14ED,108777.03,,
TXP_963FC7DCB7,165727.4,Industrial South,2014-05-29
TXP_5B9998F249,1913755.58,Suburban West,2007-01-03
TXP_428CAD52AD,272423.76,Suburban North,2023-10-04
TXP_99A17417BD,1222587.14,Suburban North,2008-04-01
TXP_9953A1262E,361187.0,Coastal Area,2013-05-12
TXP_CEFA2A2060,272004.94,City Center,
TXP_158845EE81,50000.0,Suburban West,2022-06-27
TXP_35C415E794,203331.91,,2022-06-06
TXP_81163D55F3,430717.89,Suburban West,2010-07-06
TXP_EF3057C192,140037.76,Coastal Area,2014-08-25
TXP_19FB5E69D3,684298.28,Suburban West,2012-12-23
TXP_8FE68DD530,664983.16,Coastal Area,2021-08-09
TXP_8F9829D9DE,55161.44,Coastal Area,2019-05-13
TXP_2C442C1FFC,53458.25,Suburban West,2013-06-22
TXP_8AE231EA15,828844.34,Suburban West,2005-09-28
TXP_2AE4D5F531,112246.35,Suburban North,2011-09-14
TXP_9A164B6B45,120089.62,City Center,2015-10-26
TXP_7B43A5AE80,60467.1,Coastal Area,2020-07-22
TXP_AABC33794A,160316.59,Suburban West,2013-03-19
TXP_40641E048E,157822.64,,2008-05-14
TXP_C585787B02,128742.27,Industrial South,2008-12-08
TXP_77CE7C6321,879734.21,Suburban West,2009-11-01
TXP_5FE4B07229,825444.13,,2020-10-18
TXP_C6DBB60697,,Industrial South,2009-04-26
TXP_81DAB32336,577410.21,City Center,2018-04-26
TXP_635C598AA1,271159.86,Coastal Area,2016-05-11
TXP_D084751CA7,593330.11,Suburban North,2010-03-30
TXP_459E7739AE,986084.37,Coastal Area,2010-09-25
TXP_8943BAF915,233297.82,Rural East,2016-12-06
TXP_68F2E40F0D,50000.0,Suburban North,2015-06-26
TXP_DBCA960893,598456.6,City Center,2013-09-13
TXP_94E6D5ED41,129069.37,Industrial South,2015-03-08
TXP_85FF325B28,465030.53,City Center,2022-08-05
TXP_CF166575B4,1824779.08,Rural East,2019-10-01
TXP_93EA476E72,232963.86,Suburban North,2020-04-08
TXP_B550B08266,882886.23,City Center,2023-11-15
TXP_A170EE7995,473630.96,City Center,2017-09-22
TXP_5E7FF2291D,801399.08,,2024-11-01
TXP_05160C3943,405184.57,Coastal Area,2012-02-11
TXP_4A1996A81C,362971.53,City Center,2012-11-19
TXP_93247E71AC,342818.28,City Center,2020-02-23
TXP_8FA8F20440,229085.34,Suburban West,2012-02-10
TXP_8A181610F8,2000000.0,Suburban North,2020-05-14
TXP_83A27C35B3,287942.39,Coastal Area,2025-02-23
TXP_F0295AE447,534985.81,Suburban West,2023-09-19
TXP_8807DEA648,77701.24,Suburban North,2009-06-07
TXP_82CF1C089B,1587809.49,Rural East,2011-02-26
TXP_4AD3FD1E82,741703.58,City Center,2023-12-27
TXP_98AA06DCA7,1942022.83,City Center,2020-03-04
TXP_40AAC9B779,141043.79,Industrial South,2023-10-18
TXP_F34463F941,366953.79,Rural East,2024-08-08
TXP_09BAAC0960,61090.94,City Center,2006-01-10
TXP_4E19CA6BAB,80032.41,Coastal Area,2017-11-24
TXP_BF49AA3DC6,233561.96,City Center,2023-09-20
TXP_D85D02CB85,98719.25,Coastal Area,2013-10-11
TXP_48C71011B5,92084.91,Rural East,2019-12-21
TXP_79BCE3110A,2386574.43,Suburban West,2019-01-23
TXP_4E13F8A834,319300.47,Suburban West,2010-04-21
TXP_EEC28F3A39,154719.15,City Center,2014-06-03
TXP_7FC0F5DC79,196026.93,Suburban West,2020-07-02
TXP_A819834AEB,395090.55,Rural East,2013-03-19
TXP_BBE2D7BB47,339944.31,City Center,2022-05-05
TXP_E0050C2C71,367570.52,Suburban West,2009-01-31
TXP_67C0D846FB,909716.09,Suburban West,2005-07-08
TXP_D4D54AC7B8,77777.19,Suburban West,2012-07-02
TXP_5A65FBBC7F,274221.33,Suburban North,2012-05-20
TXP_65F843DFC7,276782.94,Industrial South,2014-09-15
TXP_4B55856F28,347936.11,City Center,2019-11-10
TXP_420D41BE93,382403.58,Suburban West,2007-09-17
TXP_FCD38581F3,299310.65,City Center,2014-09-13
TXP_6C4E908761,1326141.84,Rural East,2007-03-13
TXP_E2ABECC235,310524.8,Suburban West,2016-03-06
TXP_1A613FDF9E,127792.38,Industrial South,
TXP_056D4DB40E,556780.34,Suburban North,2023-03-12
TXP_2E0DA43DAE,512706.86,Industrial South,2023-02-18
TXP_E2ABECC235,172502.19,Suburban North,2010-07-12
TXP_CB51B6C919,50000.0,Suburban North,2015-08-22
TXP_F0A754AB05,167959.81,Industrial South,2017-05-12
TXP_BA9D37A6C7,282262.63,Rural East,2015-10-23
TXP_670BD7DF87,50000.0,,2016-02-02
TXP_64FE34D2D7,127173.75,Rural East,2014-11-01
TXP_1AD7B833A4,77420.16,Industrial South,2005-12-07
TXP_66F4A12D11,93857.8,Suburban North,2008-12-15
TXP_1BDD501F94,283188.96,City Center,2024-02-04
TXP_57EDBF5A29,292905.58,Coastal Area,2010-03-16
TXP_608A629AE6,120761.09,Industrial South,2010-08-26
TXP_989F8FB567,487631.77,Industrial South,2010-10-25
TXP_0D52F1E315,560639.14,Rural East,2023-02-06
TXP_1115DE7246,67620.76,City Center,2023-12-13
TXP_D27CE33C92,851866.16,Suburban West,2016-04-11
TXP_38D76A29E1,285063.84,City Center,2008-12-22
TXP_96A63B41A4,489010.48,Suburban West,2017-09-12
TXP_5F13680BA1,494395.11,City Center,2007-05-09
TXP_5C302B6CEA,236717.57,Rural East,2005-12-25
TXP_5B4D0CAFDA,1890563.94,Coastal Area,2022-11-09
TXP_742C295527,640840.98,City Center,2019-09-25
TXP_1AA06F0BC9,294684.38,City Center,2021-01-04
TXP_292F76339A,728801.86,Suburban North,2021-01-15
TXP_DA21B478C7,62807.82,City Center,2013-04-12
TXP_F53154E335,936662.88,Suburban West,2015-03-31
TXP_D9D90248D6,1462628.92,City Center,2022-03-01
TXP_750A1515AE,287464.02,Suburban North,2015-11-05
TXP_E5F3B4A976,1899869.1,Suburban North,2021-03-11
TXP_D045EF7168,477136.57,Suburban West,2019-01-23
TXP_02409813D2,518620.85,Coastal Area,
TXP_182E9E6CBD,184325.47,City Center,2019-09-15
TXP_6D8EE1E458,,Industrial South,2005-09-11
TXP_974031572B,337225.9,Suburban North,2023-08-14
TXP_F9FBB8A14B,111959.48,Coastal Area,2015-05-15
TXP_09F5B495EF,1848483.03,City Center,2007-03-09
TXP_39F7254914,539455.83,Suburban West,2005-12-27
TXP_738F7B6BD6,796626.46,Suburban North,2006-02-09
TXP_6960508FFD,83945.54,Suburban West,2012-12-18
TXP_BC33C19166,206981.7,Rural East,2023-02-10
TXP_EFFC9565AF,81958.68,City Center,2024-03-04
TXP_B287776635,694595.72,Rural East,2010-09-06
TXP_3E5F6D28B6,62405.45,Industrial South,2013-03-08
TXP_0F3323B78D,369716.46,City Center,2006-07-23
TXP_907B213B67,60026.11,Rural East,2024-12-23
TXP_B3F1D09C46,171514.8,Suburban West,2023-03-20
TXP_E1DD612AF9,207827.3,City Center,2008-05-28
TXP_5905B985C7,916379.03,City Center,2006-04-10
TXP_AB850DB3DB,507793.31,City Center,2020-01-03
TXP_2D25E3670C,308544.9,Rural East,2021-07-30
TXP_BA0A16B1EF,100519.66,City Center,2016-03-11
TXP_CB754F8877,104379.18,Industrial South,2014-06-01
TXP_EA3AD29197,143686.59,City Center,2014-07-06
TXP_52B37D2E69,212493.55,City Center,2020-07-06
TXP_ACD5C259B3,215726.88,Coastal Area,2005-11-30
TXP_3EEC598F37,562365.56,Industrial South,2016-04-24
TXP_FA389B0BE5,158620.25,Suburban North,2023-12-29
TXP_29F38BA399,514181.83,Suburban West,2021-08-13
TXP_578727C71C,325876.28,City Center,
TXP_ACD481CC73,2354544.31,City Center,2025-04-05
TXP_5D57EDE831,50000.0,City Center,2016-07-20
TXP_38490AF5D8,111693.66,City Center,2019-05-12
TXP_299E903FA3,379263.07,City Center,2007-09-21
TXP_64A3BAAC87,247616.74,Suburban North,2007-09-13
TXP_6531FF34C7,50925.21,Suburban West,2015-02-07
TXP_5BC7A49AF9,74675.64,City Center,2018-11-29
TXP_53FC281F2B,420993.73,Industrial South,2015-10-27
TXP_EC22DA36AC,151376.68,Coastal Area,2009-09-07
TXP_3C050419DE,291316.97,Rural East,2008-12-03
TXP_8B7EC5FD2B,627836.7,Suburban North,2007-09-27
TXP_E1FAD8CFC0,208271.25,Suburban West,2012-11-04
TXP_595E4F6889,679763.05,Suburban North,2010-06-18
TXP_97C2B94C42,78287.71,City Center,2009-03-12
TXP_7F01ECAEC2,663103.19,City Center,2014-05-24
TXP_1859A69A48,112290.7,,
TXP_5E4A35EF12,314604.48,Coastal Area,2021-01-18
TXP_1CA98B006A,488191.83,Coastal Area,2018-08-27
TXP_58CB57BC7A,1159046.52,Rural East,2020-06-04
TXP_9DD2C41E49,2000000.0,Industrial South,2023-12-30
TXP_87EB5828F1,83584.25,City Center,2012-04-26
TXP_94E6D5ED41,1393862.23,Rural East,2008-10-21
TXP_AAE188EB16,354333.84,Suburban West,
TXP_0789F7D30D,140997.94,Suburban North,2023-12-10
TXP_099EAE53E6,836885.6,Coastal Area,2008-07-13
TXP_E5C404BC3A,412687.76,Suburban North,2018-04-10
TXP_D8B5EEDCDF,291929.6,Rural East,2024-01-10
TXP_EC3DBD0068,283993.04,City Center,2024-03-08
TXP_8D6607AF7F,1013304.84,Coastal Area,2012-03-16
TXP_A67CD77410,382415.15,Suburban West,2014-08-13
TXP_47EF6C9A87,452519.12,Suburban North,2014-01-11
TXP_E094D72908,585730.09,City Center,
TXP_3C804677BD,120212.28,City Center,2013-05-25
TXP_E7D5507B2E,498454.12,Suburban West,2021-10-11
TXP_9EAC1C2831,355389.71,Industrial South,2024-01-13
TXP_BC212E1127,859603.64,City Center,2013-12-01
TXP_F64B6286CA,482460.02,Industrial South,2023-07-06
TXP_9C98E22134,76169.3,Suburban West,2006-03-19
TXP_80FB1508F8,816610.52,Rural East,2021-02-20
TXP_387A0B1D3E,146580.24,City Center,2023-10-09
TXP_5536010041,528837.1,Suburban West,2011-12-18
TXP_EBEA524911,229201.89,City Center,2023-10-14
TXP_BBC272460D,,City Center,2010-03-01
TXP_5964F46B9F,112390.37,City Center,2005-12-23
TXP_AF9EF18A19,198849.97,Industrial South,2020-01-13
TXP_E0360B6A7F,265879.87,Industrial South,2016-04-02
TXP_EA46F7DDFB,215295.6,City Center,2022-08-14
TXP_1DD3A12B4B,403318.39,Suburban North,2005-05-04
TXP_8663599509,89279.8,Suburban West,2012-07-13
TXP_AD16EC1703,216046.98,Suburban West,2019-10-15
TXP_DB53F0B877,286270.47,Coastal Area,2012-04-28
TXP_8FA8F20440,409451.72,City Center,2011-12-22
TXP_0C9DEF0BA2,265114.92,Suburban North,2024-06-01
TXP_CC2EB54E00,,City Center,2011-06-02
TXP_29C36ABE6A,125438.09,Suburban North,2023-06-21
TXP_09B65D44DF,364539.1,Industrial South,2015-11-27
TXP_E4EE19A551,261261.14,Industrial South,2010-07-25
TXP_C3402388C2,212672.87,Suburban West,2012-03-20
TXP_DD3EFA3E2E,224743.15,Suburban West,2012-08-18
TXP_A70FEE3CEF,102641.56,Suburban West,2013-08-01
TXP_7BB026C56A,259572.81,City Center,2018-03-19
TXP_D53233FC94,136292.88,Industrial South,2019-06-17
TXP_FA5BC24441,224425.8,City Center,2020-09-22
TXP_3AB72E5DF0,287504.99,Industrial South,2010-04-15
TXP_AD17DF7E80,160936.35,City Center,2009-03-30
TXP_8BDB6FF2CA,50203.17,Suburban North,2018-04-06
TXP_FDE8DD65EC,901845.33,Coastal Area,2019-12-15
TXP_BFB086DB62,111742.96,Coastal Area,2019-05-09
TXP_E1F85A325A,269881.52,City Center,2016-06-06
TXP_D7D649B965,345969.58,Rural East,2022-05-16
TXP_62353A0181,499931.73,Rural East,2010-03-30
TXP_BE450D4C9A,52179.37,Suburban North,2010-10-31
TXP_A2A0303025,190049.02,Rural East,2018-07-31
TXP_AC508EEF04,749047.0,Rural East,2015-01-20
TXP_034C33E896,1275126.63,Rural East,2018-03-20
TXP_1A7B66284E,167118.86,Suburban North,2008-06-11
TXP_34BB5CBC98,322122.61,Suburban North,2023-09-06
TXP_304BD602DB,131859.61,Rural East,
TXP_AD728822CC,264340.02,City Center,2015-01-11
TXP_BAC53B496E,550873.42,City Center,2011-05-18
TXP_1AD7B833A4,131987.36,Rural East,2012-09-05
TXP_B75D254BC6,296666.07,Rural East,2023-01-24
TXP_4265D41D78,463597.29,Rural East,2023-08-31
TXP_04EBF63DDE,362871.21,Suburban North,2013-04-01
TXP_A9358B92C3,69635.12,City Center,2020-07-11
TXP_985B8E5C3D,345232.85,Rural East,2013-12-17
TXP_FD9A9BD082,78222.43,Industrial South,2019-05-12
TXP_10E0D38822,50000.0,Rural East,2022-05-03
TXP_CE36BDE192,93936.44,Rural East,2017-06-24
TXP_215D321CD8,1205310.94,Suburban North,2005-07-20
TXP_BFF88749C9,50000.0,Rural East,2023-10-07
TXP_AD4836701F,1607175.99,City Center,2005-08-03
TXP_29E5081C6F,939764.05,City Center,2019-10-30
TXP_4D3002F09E,210388.74,City Center,2017-01-07
TXP_DBE004A6D8,322399.44,Rural East,2018-12-01
TXP_A7BD49091A,557593.13,Suburban West,2021-10-08
TXP_BFA0292BFE,1092713.5,Coastal Area,2015-06-25
TXP_C6E598EC8D,256370.28,Suburban West,2006-08-10
TXP_66172AD30E,97534.76,City Center,2013-02-14
TXP_3D66707343,867109.62,Suburban West,2009-07-12
TXP_02D3CD5707,169766.17,Industrial South,2018-07-10
TXP_593AC7B328,765602.9,Industrial South,2011-08-04
