Taxpayer ID,Declared Income,Deductions,Sector,prop_count,prop_value_total,prop_value_avg,prop_value_max,prop_value_min,prop_loc_distinct_count,prop_ownership_earliest,prop_ownership_latest,directorship_count,comp_distinct_count
TXP_16A35AA4A3,161628.61,34840.31,Technology,2,435299.68,217649.84,266366.86,168932.82,1,2011-11-24,2016-01-02,0,0
TXP_310FD4847A,23629.5,4264.06,Retail,0,0.0,,,,0,,,0,0
TXP_2A409A3698,35467.78,5927.29,Other,2,1000376.8,500188.4,613390.77,386986.03,2,2011-12-28,2015-11-02,0,0
TXP_9A4994BBA6,80485.79,7104.51,Healthcare,2,1819985.19,909992.595,1409244.41,410740.78,1,2020-01-04,2023-03-27,0,0
TXP_E8D9E63D52,156103.79,27148.03,Manufacturing,2,512477.63,256238.815,310616.81,201860.82,2,2009-07-18,2016-05-30,2,2
TXP_E23E9D9EFF,203942.48,29619.74,Services,2,684450.725,342225.3625,423963.95,260486.775,1,2015-03-16,2017-02-06,0,0
TXP_AAA349BA65,57231.41,13704.96,Services,2,780201.19,390100.595,397786.04,382415.15,1,2014-08-13,2019-11-20,0,0
TXP_68A3FB8F19,42865.08,9125.32,Unknown,2,1410433.9200000002,705216.9600000001,1353374.06,57059.86,2,2007-08-25,2012-12-23,0,0
TXP_A600E541F9,23578.71,3915.89,Retail,0,0.0,,,,0,,,0,0
TXP_D49DF531CB,106461.52,4754.77,Manufacturing,0,0.0,,,,0,,,0,0
TXP_50AB5ADC37,74084.02,9901.13,Manufacturing,0,0.0,,,,0,,,2,2
TXP_BE85F90587,66741.71,9569.95,Other,1,162280.25,162280.25,162280.25,162280.25,1,2022-08-17,2022-08-17,0,0
TXP_B114FB30E9,57096.39,22473.81,Other,0,0.0,,,,0,,,0,0
TXP_17C0B371F5,16787.42,3251.87,Manufacturing,3,1267580.94,422526.98,1017369.09,63377.95,2,2005-09-24,2014-09-30,1,1
TXP_D559A111B4,170309.15,41204.33,Technology,1,621079.63,621079.63,621079.63,621079.63,1,2010-08-17,2010-08-17,0,0
TXP_AB2CBFEC3E,49730.43,7817.1,Unknown,3,2542366.59,847455.5299999999,2000000.0,140797.45,1,2009-05-05,2013-08-01,0,0
TXP_55DF1D190E,31581.85,4144.52,Finance,1,50097.95,50097.95,50097.95,50097.95,1,2012-08-09,2012-08-09,0,0
TXP_4108201345,64295.19,8955.76,Education,1,226624.19,226624.19,226624.19,226624.19,1,2016-04-19,2016-04-19,0,0
TXP_7E3C4A70F4,70539.71,9730.24,Education,1,381659.82,381659.82,381659.82,381659.82,1,2011-06-01,2011-06-01,0,0
TXP_63B98EB42F,56127.71,561.28,Healthcare,0,0.0,,,,0,,,0,0
TXP_DE30EA0EB1,75545.46,8050.14,Technology,0,0.0,,,,0,,,2,2
TXP_18C5BB42F0,99826.85,13340.26,Retail,1,230833.3,230833.3,230833.3,230833.3,1,2012-08-28,2012-08-28,0,0
TXP_B46AD1F544,95727.78,5243.72,Retail,0,0.0,,,,0,,,0,0
TXP_A445FBBF6D,66209.86,12991.48,Manufacturing,0,0.0,,,,0,,,2,2
TXP_705352F3CC,208788.45,19969.86,Other,0,0.0,,,,0,,,0,0
TXP_EAF10ADC47,38944.68,3221.05,Finance,1,281893.11,281893.11,281893.11,281893.11,1,2013-09-29,2013-09-29,0,0
TXP_5F33EC2963,31746.83,4470.2,Retail,3,1102732.04,367577.3466666667,499885.66,178789.44,2,2007-05-23,2016-04-14,0,0
TXP_682D510FB0,55815.15,11099.73,Healthcare,2,824770.5700000001,412385.28500000003,511045.14,313725.43,2,2018-10-30,2020-08-31,0,0
TXP_4D26450CC7,15000.0,2056.9,Finance,2,538823.87,269411.935,483520.85,55303.02,2,2008-03-23,2014-12-03,0,0
TXP_ACDC88397B,74549.05,15122.99,Services,1,166187.54,166187.54,166187.54,166187.54,1,2020-01-19,2020-01-19,0,0
TXP_079426D4B2,176419.18,19715.33,Services,0,0.0,,,,0,,,0,0
TXP_66223DAC0A,13359.73,2479.144544678153,Technology,1,2044250.23,2044250.23,2044250.23,2044250.23,1,2009-06-09,2009-06-09,0,0
TXP_B87A81C6BE,46303.09,10024.61,Other,1,260486.775,260486.775,260486.775,260486.775,1,2021-02-07,2021-02-07,0,0
TXP_6131D4FCDF,65933.86,9325.19,Services,3,1706505.93,568835.3099999999,633332.34,525729.25,3,2005-05-28,2019-07-27,0,0
TXP_6AFBAC8F49,32818.08,6642.73,Finance,1,198832.43,198832.43,198832.43,198832.43,1,2020-12-27,2020-12-27,0,0
TXP_22A2C1A043,36095.3,8050.14,Technology,0,0.0,,,,0,,,0,0
TXP_08088A870D,161669.63,45949.3,Technology,3,1314765.995,438255.3316666667,590958.68,260486.775,3,2007-08-21,2023-11-23,0,0
TXP_8015B47D5A,25756.8,2626.17,Services,2,263226.89,131613.445,140530.89,122696.0,2,2011-07-26,2024-04-30,0,0
TXP_1A1FAD8D65,135507.75,23479.06,Other,1,144214.12,144214.12,144214.12,144214.12,1,2015-06-12,2015-06-12,3,3
TXP_6A88104ED8,32910.21,4862.88,Retail,2,508825.17,254412.585,458825.17,50000.0,1,2016-06-07,2018-04-20,0,0
TXP_1F775BB67D,81329.05,11469.0,Construction,1,221582.23,221582.23,221582.23,221582.23,1,2024-11-18,2024-11-18,0,0
TXP_9CBEE6DAA3,34995.0,2580.4,Construction,0,0.0,,,,0,,,0,0
TXP_5AEE09E47A,27707.87,4747.5,Other,0,0.0,,,,0,,,0,0
TXP_B1B4EE3998,24814.65,3890.48,Education,0,0.0,,,,0,,,0,0
TXP_DB003FC67A,34291.24,7136.79,Education,0,0.0,,,,0,,,0,0
TXP_EACB1998BF,238934.08,38478.65,Education,0,0.0,,,,0,,,0,0
TXP_18B3B101A1,99068.5,15784.03,Services,2,849031.07,424515.535,530471.19,318559.88,1,2021-06-15,2021-11-17,0,0
TXP_21AD040445,27428.42,2124.18,Construction,1,282314.64,282314.64,282314.64,282314.64,1,2019-03-06,2019-03-06,0,0
TXP_52A4BD3EB1,57096.39,7185.61,Construction,0,0.0,,,,0,,,0,0
TXP_12C3C0A9D8,140849.37,17454.86,Finance,0,0.0,,,,0,,,0,0
TXP_9AF23EC1D9,59944.98,6827.53,Retail,0,0.0,,,,0,,,0,0
TXP_33FEBE68D8,53800.02,10922.47,Other,0,0.0,,,,0,,,0,0
TXP_FAF3788A00,31364.09,8183.43,Healthcare,3,1011356.6399999999,337118.87999999995,763316.73,112814.26,3,2006-01-24,2020-07-16,0,0
TXP_447895DF04,15000.0,1354.84,Services,0,0.0,,,,0,,,1,1
TXP_65D11DA745,47319.66,6251.15,Technology,2,405444.27,202722.135,355444.27,50000.0,1,2014-11-01,2024-01-12,1,1
TXP_B2911F9EFB,69390.94,4478.11,Retail,0,0.0,,,,0,,,0,0
TXP_4826089A62,43499.72,8113.49,Technology,0,0.0,,,,0,,,0,0
TXP_1A831F39C7,51030.47,7850.92,Construction,2,551725.98,275862.99,431703.13,120022.85,2,2009-06-25,2011-04-13,0,0
TXP_90FE80A170,27140.21,5006.6,Retail,1,1359103.43,1359103.43,1359103.43,1359103.43,1,2005-10-17,2005-10-17,0,0
TXP_BF461A79D8,32423.92,4439.92,Retail,0,0.0,,,,0,,,0,0
TXP_9B0B391C8F,30261.94,2983.92,Construction,2,641381.2,320690.6,450866.1,190515.1,2,2011-02-01,2011-04-16,0,0
TXP_9FE47704DB,121378.78,28484.87,Retail,1,260486.775,260486.775,260486.775,260486.775,1,2015-04-13,2015-04-13,0,0
TXP_ED42EF168E,140324.49,22224.01,Healthcare,1,456390.44,456390.44,456390.44,456390.44,1,2009-03-27,2009-03-27,0,0
TXP_5D95F5171A,88689.39,23775.9,Unknown,0,0.0,,,,0,,,0,0
TXP_331B719A10,74854.14,748.54,Technology,0,0.0,,,,0,,,0,0
TXP_0E209389AF,136544.45,16026.84,Education,0,0.0,,,,0,,,0,0
TXP_AEEB79A0DA,19703.33,1959.45,Technology,0,0.0,,,,0,,,0,0
TXP_AACE16397B,23574.44,4924.97,Other,0,0.0,,,,0,,,1,1
TXP_6DF1320C79,27326.22,8050.14,Construction,0,0.0,,,,0,,,0,0
TXP_F2A0CD8F50,53548.95,11800.2,Finance,0,0.0,,,,0,,,0,0
TXP_383572CFC7,91575.05,19603.44,Healthcare,1,510629.76,510629.76,510629.76,510629.76,1,2019-05-18,2019-05-18,0,0
TXP_F7593BC9D4,80058.43,6112.52,Healthcare,0,0.0,,,,0,,,0,0
TXP_C861EB90A9,47314.99,7260.16,Retail,0,0.0,,,,0,,,0,0
TXP_5C0A21F7BB,50297.51,6879.15,Finance,4,1203020.33,300755.0825,485190.35,77777.19,3,2005-12-04,2021-01-19,3,3
TXP_1782DF7EC2,80298.0,12953.91,Manufacturing,0,0.0,,,,0,,,0,0
TXP_BB75B1CC19,48551.76,3973.77,Technology,2,654115.47,327057.735,528916.12,125199.35,1,2017-11-07,2021-12-17,0,0
TXP_BF97F9716D,61267.32,3875.38,Retail,0,0.0,,,,0,,,0,0
TXP_BC4D1FF840,15000.0,1117.33,Retail,0,0.0,,,,0,,,0,0
TXP_8A0C0117D9,94086.99,12288.7,Technology,3,865175.24,288391.74666666664,599474.5,118623.05,2,2005-12-01,2023-04-06,0,0
TXP_8682454DB7,49779.25,7365.35,Finance,0,0.0,,,,0,,,0,0
TXP_60462CFC4D,89444.33,15936.56,Technology,1,314604.48,314604.48,314604.48,314604.48,1,2021-01-18,2021-01-18,0,0
TXP_6290B884B4,68035.63,14397.07,Healthcare,1,70458.0,70458.0,70458.0,70458.0,1,2016-01-23,2016-01-23,0,0
TXP_5EAE791B93,84710.65,10015.8,Technology,0,0.0,,,,0,,,0,0
TXP_05172EA289,15838.29,3500.4,Manufacturing,4,791289.485,197822.37125,317695.19,85315.14,3,2019-09-10,2023-07-04,0,0
TXP_CCC1C9F497,30913.79,3676.11,Finance,0,0.0,,,,0,,,0,0
TXP_0B0D4F0BC5,139599.87,40140.01,Other,3,1400545.27,466848.42333333334,782680.42,184324.98,3,2006-03-28,2022-04-07,0,0
TXP_3C3A46EFB4,35740.56,3934.69,Retail,0,0.0,,,,0,,,0,0
TXP_0719EC9B62,15000.0,3263.63,Healthcare,1,186061.03,186061.03,186061.03,186061.03,1,2017-11-13,2017-11-13,0,0
TXP_625FC74138,23790.61,6252.5,Finance,0,0.0,,,,0,,,0,0
TXP_CCC4E76341,100532.38,18824.64,Services,2,422767.24,211383.62,250265.05,172502.19,2,2015-01-13,2015-08-22,0,0
TXP_36274E38B7,145307.17,28492.58,Retail,0,0.0,,,,0,,,0,0
TXP_DAE09BB349,130386.36,11702.6,Technology,0,0.0,,,,0,,,0,0
TXP_14EC8C624D,52836.17,6819.91,Services,0,0.0,,,,0,,,4,4
TXP_D768CCFF30,249528.69,24886.67,Construction,1,50000.0,50000.0,50000.0,50000.0,1,2010-01-21,2010-01-21,0,0
TXP_E1E086342C,91611.57,14002.62,Retail,0,0.0,,,,0,,,0,0
TXP_3DD48D9743,21451.59,3177.72,Retail,1,302291.35,302291.35,302291.35,302291.35,1,2013-12-03,2013-12-03,0,0
TXP_5279A36789,21872.05,3835.64,Construction,1,300102.74,300102.74,300102.74,300102.74,1,2008-12-31,2008-12-31,0,0
TXP_6D5AB1647C,46209.32,5191.19,Services,1,762763.28,762763.28,762763.28,762763.28,1,2012-12-20,2012-12-20,0,0
TXP_5E0956A772,250000.0,25116.31,Services,0,0.0,,,,0,,,0,0
TXP_DD8318AD2A,41452.11,8098.95,Services,0,0.0,,,,0,,,0,0
TXP_E7A14E652E,250000.0,35265.31,Services,4,984931.37,246232.8425,554422.66,72433.53,3,2007-09-07,2021-03-11,0,0
TXP_5F488D2073,52357.95,7957.26,Technology,0,0.0,,,,0,,,0,0
TXP_580F1C8EE0,36988.79,7075.45,Services,2,975157.63,487578.815,666541.99,308615.64,1,2014-11-10,2016-08-02,0,0
TXP_864ACE7ABC,82090.27,2915.37,Retail,2,517246.37,258623.185,287533.94,229712.43,1,2014-12-31,2021-08-13,0,0
TXP_0DC94CC991,19984.91,3708.569005689776,Finance,1,2121747.64,2121747.64,2121747.64,2121747.64,1,1900-01-01,1900-01-01,0,0
TXP_BC01A40BAC,137455.16,31171.18,Construction,2,565938.88,282969.44,409163.25,156775.63,2,2005-05-25,2008-03-01,2,2
TXP_065B11A5AA,68506.68,8391.61,Services,0,0.0,,,,0,,,0,0
TXP_05B221ACF9,90124.97,20866.55,Finance,0,0.0,,,,0,,,0,0
TXP_56DC36FB20,49342.66,4930.91,Healthcare,0,0.0,,,,0,,,0,0
TXP_DB28547495,141697.27,8050.14,Services,0,0.0,,,,0,,,0,0
TXP_1138863AAE,101093.12,15832.89,Healthcare,0,0.0,,,,0,,,0,0
TXP_D71029DD47,108743.76,9670.07,Unknown,2,1008921.55,504460.775,763174.23,245747.32,2,2005-12-26,2013-05-01,0,0
TXP_778F781091,25628.23,2928.99,Retail,0,0.0,,,,0,,,0,0
TXP_36AF165726,39054.81,7256.6,Finance,3,1299978.39,433326.12999999995,751695.6,199606.62,3,2006-05-01,2023-03-21,0,0
TXP_625C463FF5,57096.39,9009.42,Healthcare,1,189362.04,189362.04,189362.04,189362.04,1,2008-04-06,2008-04-06,0,0
TXP_EDE7290C60,38793.65,8773.15,Technology,2,631914.9,315957.45,544629.78,87285.12,2,2015-03-23,2023-12-21,0,0
TXP_180D866323,24925.01,3787.55,Finance,3,676101.0700000001,225367.02333333335,248769.22,186080.51,3,2012-07-12,2015-09-13,0,0
TXP_CFAB446553,96141.79,13164.87,Retail,0,0.0,,,,0,,,0,0
TXP_FC120B9134,28549.72,8050.14,Healthcare,1,342881.46,342881.46,342881.46,342881.46,1,2022-03-03,2022-03-03,0,0
TXP_C525D2B01A,117134.51,16556.07,Technology,3,1425527.26,475175.75333333336,763347.35,210610.72,3,2014-07-19,2023-01-01,0,0
TXP_DBC575DB50,48297.53,5768.36,Retail,0,0.0,,,,0,,,0,0
TXP_84E9631265,70728.49,6952.13,Retail,0,0.0,,,,0,,,0,0
TXP_C65DAA34CC,29452.7,3934.17,Unknown,0,0.0,,,,0,,,0,0
TXP_6162C6E50D,20475.87,8050.14,Unknown,0,0.0,,,,0,,,0,0
TXP_C085E6CDE3,72001.6,7276.45,Healthcare,1,260486.775,260486.775,260486.775,260486.775,1,2021-01-28,2021-01-28,0,0
TXP_9BA944B745,9485.49,1760.2077876648086,Construction,1,1012245.07,1012245.07,1012245.07,1012245.07,1,2024-06-17,2024-06-17,0,0
TXP_A605FFC1D1,26305.89,2812.25,Healthcare,1,498624.67,498624.67,498624.67,498624.67,1,2017-01-03,2017-01-03,0,0
